citing_title	cited_title	abs_abs	context_context	citing_context_cited_abs	cited_author	Category
PUBLIC SCHOOL SAFETY AND INTERVENTION PROGRAM IMPROVEMENT PARTICIPATORY ACTION RESEARCH	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.21989531815052	0.484384149312973	0.17823900282383	Erika Payton	good
Herbal immune-boosters: Substantial warriors of pandemic Covid-19 battle	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.188267111778259	0.354009300470352	0.141262724995613	L. Karthik 	neutral
Marine Peptides: Bioactivities and Applications	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.189572140574455	0.348730534315109	0.166354045271873	L. Karthik 	good
The Elderly’s Independent Living in Smart Homes: A Characterization of Activities and Sensing Infrastructure Survey to Facilitate Services Development	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.198528602719307	0.325790911912918	0.176221713423729	François Portet	good
Teacher Preparedness for School Shootings: A Qualitative Design and Development Model Use Case Study	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.20731146633625	0.317832857370377	0.138129025697708	Erika Payton	neutral
Transformers in Vision: A Survey	Attention is all you need	0.188422486186028	0.290836244821548	0.0991732701659203	Ashish Vaswani 	good
Voice User Interfaces in Schools: Co-designing for Inclusion With Visually-Impaired and Sighted Pupils	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.191888645291328	0.271803587675095	0.139291450381279	François Portet	good
Trends in voice characteristics in patients with heart failure (VENTURE) in Switzerland: Protocol for a longitudinal observational pilot study	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.170928195118904	0.270826101303101	0.13895021378994	François Portet	good
Arming Schoolteachers: What Do We Know? Where Do We Go From Here?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.210214674472809	0.269838124513626	0.18182361125946	Erika Payton	good
A Review of Service Robots Coping With Uncertain Information in Natural Language Instructions	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.197774693369865	0.267258316278458	0.154143258929253	François Portet	bad
Open AccessArticle A Novel Gesture Recognition System for Intelligent Interaction with a Nursing-Care Assistant Robot	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.184711813926697	0.265631973743439	0.126810029149055	François Portet	bad
School Firearm Violence Prevention Practices and Policies: Functional or Folly?	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.23727548122406	0.262326031923294	0.184513404965401	Erika Payton	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.216356828808784	0.250271081924439	0.194252550601959	Erika Payton	good
ARticulate: One-Shot Interactions with Intelligent Assistants in Unfamiliar Smart Spaces Using Augmented Reality	Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects	0.218532845377922	0.240289106965065	0.145134910941124	François Portet	bad
Highly accurate protein structure prediction with AlphaFold 	Attention is all you need	0.197790965437889	0.235755145549774	0.146850109100342	Ashish Vaswani 	good
A Scoping Review of Police Involvement in School Crisis Response for Mental Health Emergencies	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.216356828808784	0.21454693377018	0.166106179356575	Erika Payton	good
The contribution of source–filter theory to mammal vocalcommunication research	Can we hear the prosody of smile? 	0.186054706573486	0.204918935894966	0.111188866198063	Veronique Auberge 	good
Significances of exponential heating and Darcy's law for second grade fluid flow over oscillating plate by using Atangana-Baleanu fractional derivatives	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.171628907322884	0.1677485704422	0.102291144430637	L. Karthik 	bad
PENERAPAN MODEL GUIDED CONTEXT-AND PROBLEM-BASED LEARNING	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.188620805740356	0.141551092267036	0.114408738911152	Erika Payton	bad
Depression, anxiety, stress and their associated factors among Ethiopian University students during an early stage of COVID-19 pandemic: An online-based cross-sectional survey	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.182663276791573	0.126236811280251	0.119452811777592	L. Karthik 	bad
Global quantitative and qualitative assessment of drought research from 1861 to 2019	Protease Inhibitors from Marine Actinobacteria as a Potential Source for Antimalarial Compound 	0.172116711735725	0.104752399027348	0.127213701605797	L. Karthik 	bad
Outcome of Vacuum Assisted Dressing in Open Comminuted Tibial Fracture with Primary Fixation	Parents’ Expectations of High Schools in Firearm Violence Prevention	0.174675419926643	0.0763430520892143	0.120876371860504	Erika Payton	bad
